Source,Target,Type,edgeid,weight
1,2,undirected,1,0.7274
1,3,undirected,2,0.6321
1,4,undirected,3,0.5297
1,5,undirected,4,0.5866
1,6,undirected,5,0.3945
1,7,undirected,6,0.5649
1,8,undirected,7,0.4760
1,13,undirected,12,0.3963
1,16,undirected,15,0.2755
1,23,undirected,22,0.3317
1,26,undirected,25,0.3812
1,65,undirected,64,0.2510
1,66,undirected,65,0.2677
1,72,undirected,71,0.3027
1,77,undirected,76,0.3494
1,78,undirected,77,0.4402
1,79,undirected,78,0.2611
1,80,undirected,79,0.2968
1,81,undirected,80,0.4147
1,82,undirected,81,0.3873
1,84,undirected,83,0.4069
1,85,undirected,84,0.3549
1,88,undirected,87,0.3895
1,89,undirected,88,0.3517
1,93,undirected,92,0.2771
1,94,undirected,93,0.2775
2,3,undirected,100,0.6360
2,4,undirected,101,0.6036
2,5,undirected,102,0.7327
2,6,undirected,103,0.4699
2,7,undirected,104,0.5007
2,8,undirected,105,0.5254
2,12,undirected,109,0.3168
2,13,undirected,110,0.5281
2,14,undirected,111,0.3970
2,16,undirected,113,0.3668
2,22,undirected,119,0.3173
2,23,undirected,120,0.4823
2,26,undirected,123,0.3262
2,33,undirected,130,0.3703
2,64,undirected,161,0.2779
2,65,undirected,162,0.3730
2,66,undirected,163,0.3354
2,72,undirected,169,0.4195
2,73,undirected,170,0.3580
2,74,undirected,171,0.2761
2,77,undirected,174,0.3233
2,78,undirected,175,0.4371
2,80,undirected,177,0.2767
2,81,undirected,178,0.4624
2,82,undirected,179,0.3922
2,84,undirected,181,0.3677
2,85,undirected,182,0.3460
2,88,undirected,185,0.4409
2,89,undirected,186,0.4165
2,94,undirected,191,0.2999
3,4,undirected,198,0.5940
3,5,undirected,199,0.4806
3,6,undirected,200,0.4506
3,7,undirected,201,0.4072
3,8,undirected,202,0.3340
3,10,undirected,204,0.2863
3,13,undirected,207,0.2942
3,14,undirected,208,0.3450
3,17,undirected,211,0.2699
3,32,undirected,226,0.2640
3,33,undirected,227,0.2805
3,78,undirected,272,0.3222
3,79,undirected,273,0.2820
3,80,undirected,274,0.3133
3,81,undirected,275,0.3583
3,82,undirected,276,0.2693
3,85,undirected,279,0.2985
3,88,undirected,282,0.2840
3,89,undirected,283,0.2794
3,93,undirected,287,0.2802
3,94,undirected,288,0.2890
4,5,undirected,295,0.7372
4,6,undirected,296,0.5900
4,7,undirected,297,0.2507
4,8,undirected,298,0.2750
4,12,undirected,302,0.2878
4,13,undirected,303,0.3693
4,14,undirected,304,0.4560
4,22,undirected,312,0.2818
4,23,undirected,313,0.3931
4,32,undirected,322,0.3165
4,33,undirected,323,0.4334
4,65,undirected,355,0.3253
4,66,undirected,356,0.2728
4,72,undirected,362,0.2590
4,78,undirected,368,0.2602
4,79,undirected,369,0.2778
4,80,undirected,370,0.4216
4,81,undirected,371,0.4780
4,82,undirected,372,0.4739
4,88,undirected,378,0.3074
4,89,undirected,379,0.2625
5,6,undirected,391,0.6119
