ID,x,y,z,Network
1,30,-84,-36,12
2,18,-84,-36,12
3,6,-84,-36,12
4,-6,-84,-36,12
5,-18,-84,-36,12
6,-30,-84,-36,12
7,42,-72,-36,12
8,30,-72,-36,12
9,18,-72,-36,12
10,6,-72,-36,12
11,-6,-72,-36,12
12,-18,-72,-36,12
13,-30,-72,-36,12
14,-42,-72,-36,12
15,54,-60,-36,12
16,42,-60,-36,12
17,30,-60,-36,12
18,18,-60,-36,12
19,6,-60,-36,12
20,-6,-60,-36,12
21,-18,-60,-36,12
22,-30,-60,-36,12
23,-42,-60,-36,12
24,-54,-60,-36,12
25,54,-48,-36,12
26,42,-48,-36,12
27,30,-48,-36,12
28,18,-48,-36,12
29,6,-48,-36,12
30,-6,-48,-36,12
31,-18,-48,-36,12
32,-30,-48,-36,12
33,-42,-48,-36,12
34,-54,-48,-36,12
35,42,-36,-36,12
36,30,-36,-36,12
37,18,-36,-36,12
38,6,-36,-36,0
39,-6,-36,-36,0
40,-18,-36,-36,0
41,-30,-36,-36,12
42,-42,-36,-36,12
43,18,-24,-36,0
44,6,-24,-36,0
45,-6,-24,-36,0
46,-18,-24,-36,0
47,54,-12,-36,5
48,42,-12,-36,5
49,30,-12,-36,5
50,18,-12,-36,10
51,6,-12,-36,0
52,-6,-12,-36,0
53,-18,-12,-36,5
54,-30,-12,-36,5
55,-42,-12,-36,5
56,-54,-12,-36,5
57,54,0,-36,7
58,42,0,-36,5
59,30,0,-36,5
60,18,0,-36,10
61,-18,0,-36,5
62,-30,0,-36,5
63,-42,0,-36,5
64,-54,0,-36,7
65,54,12,-36,7
66,42,12,-36,7
67,30,12,-36,5
68,18,12,-36,5
69,-18,12,-36,5
70,-30,12,-36,5
71,-42,12,-36,5
72,-54,12,-36,7
73,42,24,-36,5
74,30,24,-36,5
75,-30,24,-36,5
76,-42,24,-36,5
77,30,-84,-24,12
78,18,-84,-24,12
79,6,-84,-24,12
80,-6,-84,-24,12
81,-18,-84,-24,12
82,-30,-84,-24,12
83,42,-72,-24,12
84,30,-72,-24,12
85,18,-72,-24,12
86,6,-72,-24,12
87,-6,-72,-24,12
88,-18,-72,-24,12
89,-30,-72,-24,12
90,-42,-72,-24,12
91,54,-60,-24,12
92,42,-60,-24,12
93,30,-60,-24,12
94,18,-60,-24,12
95,6,-60,-24,12
96,-6,-60,-24,12
97,-18,-60,-24,12
98,-30,-60,-24,12
99,-42,-60,-24,12
100,-54,-60,-24,3
